"effect_size_id","k","r","cilb","ciub","p","i2","n","sig999"
"59227_002",12,-0.0779116070823678,-0.158885093165539,0.00306187900080332,0.0593150125633453,77.4219594949459,2888,FALSE
"59227_003",5,-0.0345652051898815,-0.180489150298305,0.111358739918542,0.6424619373197,88.1827447228985,1848,FALSE
"59227_004",10,-0.0659557764551778,-0.171702649752853,0.0397910968424973,0.221535066444443,79.6770370354346,2001,FALSE
"59227_005",5,-0.0984119384977507,-0.200767809159235,0.00394393216373322,0.0595050105592936,39.9714467759555,610,FALSE
"59227_006",9,-0.0879817610817232,-0.207757016077237,0.0317934939137908,0.149950761148553,82.0927310764255,1811,FALSE
"59227_007",4,-0.149172744043286,-0.218132196024474,-0.0802132920620975,2.23734612759634e-05,68.8433373168239,4181,TRUE
"59233_001",40,0.262898941178608,0.171179493399155,0.354618388958062,1.93270719937512e-08,89.4135287066078,2966,TRUE
"59233_002",3,0.32365726335297,-0.149764420427871,0.797078947133811,0.180264901396062,90.2886493855384,146,FALSE
"59233_003",25,0.199260128089729,0.0677993631092019,0.330720893070256,0.00297032250975326,92.9454331876013,2078,FALSE
"59233_004",12,0.376771750151796,0.314699272814771,0.438844227488821,1.23086387143968e-32,0,742,TRUE
"59233_005",30,0.281822110241804,0.151110607159805,0.412533613323803,2.3808921249665e-05,95.902364558663,1197,TRUE
"59233_006",12,0.522725571902019,0.318430905675226,0.727020238128812,5.30529874680511e-07,98.3114816011164,657,TRUE
"59233_007",18,0.100762964860179,0.00464981688013091,0.196876112840227,0.0398998487180832,28.7531558963136,548,FALSE
