pref,rule,comm,rev,nsubj,file,period,subj,group,type,sample,action,groupdec,jar,payoff,time
het,5,1,0,18,HET_5_18_chat.txt,11,4,1,2,2,1,1,1,50,21
het,5,1,0,18,HET_5_18_chat.txt,11,15,2,1,1,1,1,2,10,21
het,5,1,0,18,HET_5_18_chat.txt,11,16,2,2,2,1,1,2,10,32
het,5,1,0,18,HET_5_18_chat.txt,11,7,2,2,1,1,1,2,10,24
het,5,1,0,18,HET_5_18_chat.txt,11,13,2,2,1,2,1,2,10,23
het,5,1,0,18,HET_5_18_chat.txt,11,11,2,1,1,2,1,2,10,49
het,5,1,0,18,HET_5_18_chat.txt,11,10,2,2,2,1,1,2,10,21
het,5,1,0,18,HET_5_18_chat.txt,11,17,2,1,1,1,1,2,10,23
het,5,1,0,18,HET_5_18_chat.txt,11,12,2,1,2,2,1,2,10,63
het,5,1,0,18,HET_5_18_chat.txt,11,3,2,2,2,2,1,2,10,50
het,5,1,0,18,HET_5_18_chat.txt,12,11,1,1,2,2,2,2,50,24
het,5,1,0,18,HET_5_18_chat.txt,12,16,1,2,2,2,2,2,150,22
het,5,1,0,18,HET_5_18_chat.txt,12,2,1,1,2,2,2,2,50,17
het,5,1,0,18,HET_5_18_chat.txt,12,15,1,2,2,2,2,2,150,15
het,5,1,0,18,HET_5_18_chat.txt,12,4,1,1,2,2,2,2,50,19
het,5,1,0,18,HET_5_18_chat.txt,12,5,1,2,2,2,2,2,150,15
het,5,1,0,18,HET_5_18_chat.txt,12,10,1,2,1,2,2,2,150,13
het,5,1,0,18,HET_5_18_chat.txt,12,1,1,1,1,2,2,2,50,15
het,5,1,0,18,HET_5_18_chat.txt,12,12,1,2,2,2,2,2,150,20
het,5,1,0,18,HET_5_18_chat.txt,12,7,2,1,1,1,1,1,150,11
het,5,1,0,18,HET_5_18_chat.txt,12,9,2,2,1,1,1,1,50,27
het,5,1,0,18,HET_5_18_chat.txt,12,17,2,2,1,1,1,1,50,14
het,5,1,0,18,HET_5_18_chat.txt,12,6,2,2,1,1,1,1,50,15
het,5,1,0,18,HET_5_18_chat.txt,12,3,2,1,1,1,1,1,150,10
het,5,1,0,18,HET_5_18_chat.txt,12,13,2,2,1,2,1,1,50,12
het,5,1,0,18,HET_5_18_chat.txt,12,8,2,1,1,1,1,1,150,10
het,5,1,0,18,HET_5_18_chat.txt,12,18,2,1,1,1,1,1,150,8
het,5,1,0,18,HET_5_18_chat.txt,12,14,2,1,1,1,1,1,150,15
het,5,1,0,18,HET_5_18_chat.txt,13,4,1,2,1,1,1,2,10,30
het,5,1,0,18,HET_5_18_chat.txt,13,3,1,2,1,1,1,2,10,16
het,5,1,0,18,HET_5_18_chat.txt,13,6,1,1,2,1,1,2,10,29
het,5,1,0,18,HET_5_18_chat.txt,13,5,1,2,1,1,1,2,10,21
het,5,1,0,18,HET_5_18_chat.txt,13,9,1,2,1,1,1,2,10,27
het,5,1,0,18,HET_5_18_chat.txt,13,17,1,1,2,1,1,2,10,18
het,5,1,0,18,HET_5_18_chat.txt,13,1,1,2,2,1,1,2,10,23
het,5,1,0,18,HET_5_18_chat.txt,13,16,1,1,1,1,1,2,10,24
het,5,1,0,18,HET_5_18_chat.txt,13,10,1,1,2,1,1,2,10,26
het,5,1,0,18,HET_5_18_chat.txt,13,8,2,1,2,1,1,1,150,19
het,5,1,0,18,HET_5_18_chat.txt,13,15,2,2,1,1,1,1,50,24
het,5,1,0,18,HET_5_18_chat.txt,13,2,2,2,1,1,1,1,50,22
het,5,1,0,18,HET_5_18_chat.txt,13,11,2,1,2,1,1,1,150,35
het,5,1,0,18,HET_5_18_chat.txt,13,13,2,1,1,1,1,1,150,18
het,5,1,0,18,HET_5_18_chat.txt,13,12,2,1,1,1,1,1,150,39
het,5,1,0,18,HET_5_18_chat.txt,13,18,2,1,1,1,1,1,150,11
het,5,1,0,18,HET_5_18_chat.txt,13,14,2,1,2,2,1,1,150,17
het,5,1,0,18,HET_5_18_chat.txt,13,7,2,2,1,1,1,1,50,26
het,5,1,0,18,HET_5_18_chat.txt,14,1,1,2,2,2,2,2,150,14
het,5,1,0,18,HET_5_18_chat.txt,14,18,1,2,1,2,2,2,150,11
het,5,1,0,18,HET_5_18_chat.txt,14,5,1,1,2,2,2,2,50,28
het,5,1,0,18,HET_5_18_chat.txt,14,14,1,2,2,2,2,2,150,10
het,5,1,0,18,HET_5_18_chat.txt,14,13,1,1,2,1,2,2,50,12
het,5,1,0,18,HET_5_18_chat.txt,14,11,1,2,2,2,2,2,150,34
het,5,1,0,18,HET_5_18_chat.txt,14,3,1,1,2,2,2,2,50,13
het,5,1,0,18,HET_5_18_chat.txt,14,4,1,1,2,2,2,2,50,15
het,5,1,0,18,HET_5_18_chat.txt,14,15,1,2,1,2,2,2,150,13
het,5,1,0,18,HET_5_18_chat.txt,14,9,2,1,1,1,1,1,150,26
het,5,1,0,18,HET_5_18_chat.txt,14,16,2,1,1,1,1,1,150,19
het,5,1,0,18,HET_5_18_chat.txt,14,17,2,2,2,2,1,1,50,14
het,5,1,0,18,HET_5_18_chat.txt,14,7,2,2,1,1,1,1,50,23
het,5,1,0,18,HET_5_18_chat.txt,14,8,2,2,1,1,1,1,50,30
het,5,1,0,18,HET_5_18_chat.txt,14,12,2,2,1,1,1,1,50,31
het,5,1,0,18,HET_5_18_chat.txt,14,6,2,1,1,1,1,1,150,29
het,5,1,0,18,HET_5_18_chat.txt,14,2,2,2,2,1,1,1,50,28
het,5,1,0,18,HET_5_18_chat.txt,14,10,2,1,2,1,1,1,150,18
het,5,1,0,18,HET_5_18_chat.txt,15,18,1,2,1,2,1,1,50,15
het,5,1,0,18,HET_5_18_chat.txt,15,2,1,2,1,1,1,1,50,22
het,5,1,0,18,HET_5_18_chat.txt,15,6,1,2,2,1,1,1,50,21
het,5,1,0,18,HET_5_18_chat.txt,15,17,1,1,1,1,1,1,150,14
het,5,1,0,18,HET_5_18_chat.txt,15,14,1,1,1,1,1,1,150,11
het,5,1,0,18,HET_5_18_chat.txt,15,8,1,2,1,1,1,1,50,22
het,5,1,0,18,HET_5_18_chat.txt,15,10,1,1,1,1,1,1,150,11
het,5,1,0,18,HET_5_18_chat.txt,15,13,1,1,1,1,1,1,150,14
het,5,1,0,18,HET_5_18_chat.txt,15,11,1,2,2,1,1,1,50,29
het,5,1,0,18,HET_5_18_chat.txt,15,4,2,1,1,1,1,1,150,28
het,5,1,0,18,HET_5_18_chat.txt,15,9,2,1,1,1,1,1,150,20
het,5,1,0,18,HET_5_18_chat.txt,15,16,2,1,2,1,1,1,150,48
het,5,1,0,18,HET_5_18_chat.txt,15,1,2,2,1,1,1,1,50,14
het,5,1,0,18,HET_5_18_chat.txt,15,15,2,2,1,1,1,1,50,14
het,5,1,0,18,HET_5_18_chat.txt,15,7,2,2,1,1,1,1,50,34
het,5,1,0,18,HET_5_18_chat.txt,15,12,2,2,1,1,1,1,50,36
het,5,1,0,18,HET_5_18_chat.txt,15,3,2,2,1,1,1,1,50,15
het,5,1,0,18,HET_5_18_chat.txt,15,5,2,1,1,1,1,1,150,22
het,5,0,0,18,HET_5_18_nochat.txt,1,9,1,1,2,2,1,1,150,7
het,5,0,0,18,HET_5_18_nochat.txt,1,18,1,2,2,2,1,1,50,6
het,5,0,0,18,HET_5_18_nochat.txt,1,5,1,2,2,1,1,1,50,7
het,5,0,0,18,HET_5_18_nochat.txt,1,4,1,1,2,1,1,1,150,43
het,5,0,0,18,HET_5_18_nochat.txt,1,16,1,2,1,1,1,1,50,39
het,5,0,0,18,HET_5_18_nochat.txt,1,14,1,2,2,2,1,1,50,7
het,5,0,0,18,HET_5_18_nochat.txt,1,13,1,1,2,1,1,1,150,10
het,5,0,0,18,HET_5_18_nochat.txt,1,17,1,1,2,1,1,1,150,14
het,5,0,0,18,HET_5_18_nochat.txt,1,2,1,2,1,2,1,1,50,6
het,5,0,0,18,HET_5_18_nochat.txt,1,3,2,2,2,2,2,2,150,4
het,5,0,0,18,HET_5_18_nochat.txt,1,12,2,1,1,1,2,2,50,31
het,5,0,0,18,HET_5_18_nochat.txt,1,8,2,1,1,2,2,2,50,7
het,5,0,0,18,HET_5_18_nochat.txt,1,6,2,2,1,2,2,2,150,24
het,5,0,0,18,HET_5_18_nochat.txt,1,15,2,1,2,2,2,2,50,11
het,5,0,0,18,HET_5_18_nochat.txt,1,10,2,1,1,2,2,2,50,21
het,5,0,0,18,HET_5_18_nochat.txt,1,7,2,2,2,1,2,2,150,10
het,5,0,0,18,HET_5_18_nochat.txt,1,1,2,2,1,2,2,2,150,24
het,5,0,0,18,HET_5_18_nochat.txt,1,11,2,1,1,1,2,2,50,9
het,5,0,0,18,HET_5_18_nochat.txt,2,9,1,2,2,1,1,1,50,6
het,5,0,0,18,HET_5_18_nochat.txt,2,1,1,1,2,1,1,1,150,7
het,5,0,0,18,HET_5_18_nochat.txt,2,3,1,2,1,1,1,1,50,14
het,5,0,0,18,HET_5_18_nochat.txt,2,7,1,1,1,2,1,1,150,8
het,5,0,0,18,HET_5_18_nochat.txt,2,12,1,1,2,1,1,1,150,6
het,5,0,0,18,HET_5_18_nochat.txt,2,8,1,1,2,2,1,1,150,5
het,5,0,0,18,HET_5_18_nochat.txt,2,6,1,1,1,1,1,1,150,7
het,5,0,0,18,HET_5_18_nochat.txt,2,5,1,2,1,1,1,1,50,15
het,5,0,0,18,HET_5_18_nochat.txt,2,10,1,1,2,2,1,1,150,8
het,5,0,0,18,HET_5_18_nochat.txt,2,11,2,2,1,2,2,2,150,12
het,5,0,0,18,HET_5_18_nochat.txt,2,14,2,2,2,1,2,2,150,15
het,5,0,0,18,HET_5_18_nochat.txt,2,2,2,2,2,2,2,2,150,14
het,5,0,0,18,HET_5_18_nochat.txt,2,4,2,2,2,1,2,2,150,19
het,5,0,0,18,HET_5_18_nochat.txt,2,18,2,1,2,2,2,2,50,12
het,5,0,0,18,HET_5_18_nochat.txt,2,15,2,1,2,2,2,2,50,7
het,5,0,0,18,HET_5_18_nochat.txt,2,17,2,1,1,2,2,2,50,22
het,5,0,0,18,HET_5_18_nochat.txt,2,16,2,2,2,1,2,2,150,59
het,5,0,0,18,HET_5_18_nochat.txt,2,13,2,1,2,1,2,2,50,35
het,5,0,0,18,HET_5_18_nochat.txt,3,16,1,1,1,2,2,1,10,80
het,5,0,0,18,HET_5_18_nochat.txt,3,6,1,2,1,2,2,1,10,21
het,5,0,0,18,HET_5_18_nochat.txt,3,3,1,1,1,1,2,1,10,5
het,5,0,0,18,HET_5_18_nochat.txt,3,4,1,1,2,2,2,1,10,10
het,5,0,0,18,HET_5_18_nochat.txt,3,8,1,2,1,2,2,1,10,7
het,5,0,0,18,HET_5_18_nochat.txt,3,2,1,1,2,1,2,1,10,32
het,5,0,0,18,HET_5_18_nochat.txt,3,18,1,2,1,1,2,1,10,11
het,5,0,0,18,HET_5_18_nochat.txt,3,13,1,2,1,2,2,1,10,35
het,5,0,0,18,HET_5_18_nochat.txt,3,14,1,1,1,2,2,1,10,11
het,5,0,0,18,HET_5_18_nochat.txt,3,17,2,1,2,1,1,1,150,19
het,5,0,0,18,HET_5_18_nochat.txt,3,5,2,1,1,1,1,1,150,16
